category,final,initial,market,name,price
higiene,17/04/2019,29/03/2019,mundial,Condicionador SEDA Super Vários Tipos 170ml,13.98
higiene,17/04/2019,29/03/2019,mundial,Água Micelar 5 em 1 L'ORÉAL (Exceto Bifásica) 200ml,19.98
higiene,17/04/2019,29/03/2019,mundial,Shampoo 400ml + Condicionador 200ml TRESEMMÉ GRÁTIS SHAMPOO A SECO,21.98
higiene,17/04/2019,29/03/2019,mundial,Shampoo 400ml + Condicionador 200ml DOVE GRÁTIS SHAMPOO A SECO,26.98
higiene,17/04/2019,29/03/2019,mundial,"Óleo Capilar Extraordinário ELSEVE Gota 4,5ml",5.98
higiene,17/04/2019,29/03/2019,mundial,Tintura p/ Cabelo COR & TON  Bisnaga Vários Tipos,9.98
higiene,17/04/2019,29/03/2019,mundial,Tintura p/ Cabelo L’ORÉAL IMÉDIA Excellence Creme  Vários Tipos,24.98
higiene,17/04/2019,29/03/2019,mundial,Ampola de Tratamento PANTENE Vários Tipos c/ 3 de 15ml,9.98
higiene,17/04/2019,29/03/2019,mundial,Creme Dental SORRISO Fresh Hortelã Explosion c/ 3 de 90g LEVE MAIS POR MENOS,5.97
higiene,17/04/2019,29/03/2019,mundial,Enxaguante Bucal COLGATE PLAX Fresh Mint LEVE 500ml PAGUE 350ml + ENXAGUANTE 250ml,15.97
higiene,17/04/2019,29/03/2019,mundial,Creme Dental COLGATE Tripla Ação  LEVE 180g PAGUE 140g,2.97
higiene,17/04/2019,29/03/2019,mundial,Creme de Pentear DOVE Care on Day 2 200ml,15.90
higiene,17/04/2019,29/03/2019,mundial,Shampoo a Seco DOVE Care on Day 2 75ml,17.90
higiene,17/04/2019,29/03/2019,mundial,Spray Revitalizador DOVE Care on Day 2 200ml,15.90
higiene,17/04/2019,29/03/2019,mundial,Antitranspirante Creme REXONA Clinical 48g,17.90
higiene,17/04/2019,29/03/2019,mundial,Escova Dental  COLGATE 360º Luminous White ou Macia LEVE 2 PAGUE 1,10.90
higiene,17/04/2019,29/03/2019,mundial,Sabonete Líquido DOVE Baby Vários Tipos Refil 180ml,7.48
higiene,17/04/2019,29/03/2019,mundial,Lenços Faciais Cleansing SIMPLE c/ 25 Unids.,15.48
higiene,17/04/2019,29/03/2019,mundial,Sabonete Líquido Íntimo PROTEX  Delicate Care c/ 2 de 200ml,22.48
higiene,17/04/2019,29/03/2019,mundial,Desodorante  Aerossol BÍ-O Vários Tipos 150ml,11.48
higiene,17/04/2019,29/03/2019,mundial,Enxaguante Bucal COLGATE PLAX Ice Infinity LEVE 250ml PAGUE 200ml,5.97
higiene,17/04/2019,29/03/2019,mundial,Sabonete LUX Vários Tipos c/ 4 de 85g,3.97
higiene,17/04/2019,29/03/2019,mundial,Sabonete DOVE Vários Tipos 90g c/ 6 PREÇO ESPECIAL,8.97
higiene,17/04/2019,29/03/2019,mundial,Sabonete FRANCIS Clássico Vários Tipos 90g,1.97
higiene,17/04/2019,29/03/2019,mundial,Sabonete PALMOLIVE Naturals Vários Tipos 85g,1.97
higiene,17/04/2019,29/03/2019,mundial,Escova Dental  COLGATE Whitening LEVE 2 PAGUE 1,8.90
higiene,17/04/2019,29/03/2019,mundial,Desodorante Roll-On DOVE Vários Tipos (Exceto Hipoalergênico e Renovador) 50ml,8.48
higiene,17/04/2019,29/03/2019,mundial,Condicionador DOVE Super Fator de Nutrição Vários Tipos 170ml,19.48
higiene,17/04/2019,29/03/2019,mundial,Shampoo DOVE Vários Tipos 400ml,14.48
higiene,17/04/2019,29/03/2019,mundial,Shampoo SEDA Vários Tipos 325ml,6.48
higiene,17/04/2019,29/03/2019,mundial,Escova Dental COLGATE Tandy c/ 2,4.90
higiene,17/04/2019,29/03/2019,mundial,Creme Dental COLGATE Máxima Proteção Anticáries Neutraçúcar 70g LEVE 3 PAGUE 2,5.90
sobremesas,17/04/2019,29/03/2019,mundial,Mistura para Bolo DR. OETKER s/ Glúten Chocolate ou Laranja 300g,6.99
sobremesas,17/04/2019,29/03/2019,mundial,Creme de Leite ITAMBÉ  Lata 300g,3.89
sobremesas,17/04/2019,29/03/2019,mundial,Creme de Leite NESTLÉ TP 200g,2.89
